Varco,Data,Passaggi 24h
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/01/2015,9740
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/02/2015,9682
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/03/2015,10158
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/04/2015,7155
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/05/2015,5566
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/06/2015,9570
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/07/2015,9971
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/08/2015,9789
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/09/2015,9831
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/10/2015,9764
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/11/2015,6682
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/12/2015,5031
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/13/2015,9519
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/14/2015,9568
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/15/2015,9299
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/16/2015,9692
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/17/2015,9701
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/18/2015,6458
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/19/2015,5063
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/20/2015,9293
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/21/2015,9468
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/22/2015,9315
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/23/2015,9558
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/24/2015,9635
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/25/2015,6366
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/26/2015,4869
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/27/2015,9062
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/28/2015,9355
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/29/2015,9356
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/30/2015,9388
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,07/31/2015,9119
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/01/2015,6032
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/02/2015,4356
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/03/2015,7975
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/04/2015,7803
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/05/2015,7873
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/06/2015,7772
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/07/2015,7315
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/08/2015,4652
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/09/2015,3372
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/10/2015,5582
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/11/2015,5288
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/12/2015,5036
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/13/2015,5070
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/14/2015,4803
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/15/2015,2401
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/16/2015,2912
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/17/2015,4850
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/18/2015,4940
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/19/2015,4981
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/20/2015,5080
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/21/2015,5232
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/22/2015,4096
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/23/2015,3487
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/24/2015,6401
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/25/2015,6878
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/26/2015,6953
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/27/2015,7220
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/28/2015,7606
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/29/2015,5361
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/30/2015,4607
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,08/31/2015,8505
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/01/2015,8934
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/02/2015,9143
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/03/2015,9255
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/04/2015,9766
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/05/2015,6796
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/06/2015,5331
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/07/2015,9461
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/08/2015,9674
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/09/2015,9799
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/10/2015,9879
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/11/2015,10293
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/12/2015,7144
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/13/2015,5431
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/14/2015,9612
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/15/2015,9924
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/16/2015,10059
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/17/2015,9927
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/18/2015,10523
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/19/2015,7379
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/20/2015,5746
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/21/2015,9888
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/22/2015,10018
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/23/2015,10211
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/24/2015,10511
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/25/2015,10625
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/26/2015,7492
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/27/2015,5805
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/28/2015,10062
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/29/2015,10029
S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,09/30/2015,10263
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/01/2015,10187
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/02/2015,10364
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/03/2015,11224
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/04/2015,7554
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/05/2015,4651
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/06/2015,8738
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/07/2015,8917
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/08/2015,10072
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/09/2015,10242
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/10/2015,10657
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/11/2015,6798
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/12/2015,4842
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/13/2015,9696
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/14/2015,9803
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/15/2015,9879
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/16/2015,10163
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/17/2015,9070
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/18/2015,6419
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/19/2015,3727
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/20/2015,8938
S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,07/21/2015,8003
